제목	본문요약
49.7야드 원더골 폭발, 'GK 망연자실' 유로1980 이후 최장거리 득점	체코는 14일(한국시각) 스코틀랜드 글래스고의 햄던 파크에서 열린 스코틀랜드와의  조별리그 첫 경기에서 2대0으로 승리했다. 승리의 파랑새. 쉬크였다. 이날 원톱으로 경기에 나선 쉬크는 혼자 두 골을 넣으며...
[유로2020 E조 프리뷰] 스페인-폴란드의 운명은?	요렌테-로드리-페드리, 모레노-모라타-올모 슬로바키아:슈체스니(GK), 베레신스키-글리크-베드나레크-베드나레크,유지비아크-모데르-리네티-리부스,클리흐,지엘린스키, 레반도프스키 사진=  공식 인스타그램
헝가리 감독 "이 결과는 선수들이 만들었다. 매우 감사해" [유로2020]	헝가리는 19일(한국시각) 열린 UEFA  F조 2차전 프랑스와의 경기에서 1-1로 비겼다. 전반 추가시간에 아틸라 피올라의선제골로 앞서간 헝가리는 후반 21분 앙투완 그리즈만에게 동점을 내줬지만, 끝까지 역전을...
'잘 하긴 한다' GOAT 호날두는 유로 기록파괴자, 11골+106골+첫 5개 대회 연속골	포르투갈 A대표팀 주장인 호날두는 16일 새벽(한국시각) 헝가리 부다페스트에서 벌어진  본선 조별리그 F조 경기서 2골을 터트렸다. 호날두는 후반 막판 PK로 골문을 열었고, 왼발로 멀티골을 완성했다....
[유로 REVEIW] '우승후보' 프랑스, '다크호스' 헝가리와 고전 끝 1-1 무승부	프랑스는 19일 저녁 10시(이하 한국시간) 헝가리 부다페스트 푸스카스 아레나에서 열린  F조 조별 예선 2차전에서 헝가리와 1-1로 비겼다. F조 최약체와 우승후보의 격돌. 프랑스의 손쉬운 승리가 예상됐으나...
유로에도 핵이빨이 출현했다…뤼디거, 제2의 수아레스?	뤼디거는 16일 독일 뮌헨에서 열린 유럽축구선수권대회() F조 조별리그 독일-프랑스전에서 상대 선수를 깨무는 장면으로 비판을 받고 있다. 독일이 0-1로 끌려가던 전반 44분에 나온 장면이다. 부상으로 안면...
이번엔 관중 추락사고…유로2020서 연이틀 안타까운 사고 발생	대회에서 연이틀 안타까운 사고가 발생했다. 덴마크 스타 크리스티안 에릭센(인터 밀란)이 핀란드전 도중 심정지 상태에 놓여 전 세계 축구팬들을 충격에 빠트린지 채 하루도 지나지 않아 이번엔 팬이...
[유로 E조] 모라타-레반도프스키 모두 넣었다…스페인-폴란드 1-1 무승부	두 팀은 20일(한국시간) 스페인 세비야에서 열린  조별리그 E조 2차전에서 1-1로 비겼다. 이로써 스페인은 두 경기 연속 무승부로 3위에 머물렀고 폴란드도 첫 승에 실패해 조 최하위를 유지했다. 스페인은 앞서...
'자기관리' 끝판왕 호날두, 스폰서 콜라병 치우고 물병 챙겨 [유로2020]	크리스티아누 호날두는 15일(한국시각) 헝가리 부다페스트 푸스카스 아레나에서 다가오는 UEFA  F조 첫 경기 헝가리와의 경기를 앞두고 페르난두 산투스 감독과 함께 기자회견에 참석했다. 디펜딩 챔피언...
포트나이트, UEFA 유로컵 2020 개최	16일과 17일, 2일간 ‘포트나이트 UEFA 컵 ’ 경쟁전 진행 성적에 따라 상금과 함께 ‘우승컵’ 이모티콘과 ‘발로 차’ 스프레이 지급 최고의 축구 스타 해리 케인과 마르코 로이스 아이템 출시 [FETV=김창수...
WC 우승팀에 도전하는 헝가리...헝가리vs프랑스 선발 라인업 발표 [유로2020]	헝가리와 프랑스는 19일(한국시각) 헝가리 부다페스트에서 열리는 UEFA  F조 2차전 선발 라인업을 발표했다. 헝가리는 1차전에서 포르투갈에 0-3 완패를 당해 F조 최하위에 처져있고 프랑스는 1차전 독일에 1-0으로...
tvN, 12일부터 유로2020 독점 생중계 [공식]	tvN이  중계의 막을 올린다. 오는 12일(한국시간) tvN, XtvN, 티빙이 '터키:이탈리아' 개막전을 시작으로  중계에 나선다. 배성재가 중계진에 합류, 관전에 재미를 더할 전망이다. 유럽 축구 국가 대항전...
[유로 D조] ‘케인 침묵’ 잉글랜드, 스코틀랜드와 졸전 끝 0-0 무승부	잉글랜드는 19일 오전 4시(한국시간) 영국 런던 웸블리 스타디움에서 열린  D조 2차전서 스코틀랜드와 0-0 무승부에 그쳤다. 지난 13일 크로아티아를 1-0으로 격파하며 첫 승을 신고했지만 스코틀랜드전에서 기세를...
이탈리아 ‘3전 전승 16강’, 터키는 전패 탈락… 엇갈린 유로 A조 명암	이탈리아는 에서 3전 전승을 기록하며 A조 1위로 16강에 진출하게 됐다. 이탈리아는 조별라운드 동안 단 한 점도 내주지 않은 철벽 수비진과 7골을 폭발시킨 공격진의 조화를 앞세워 이번 대회 우승을 향해...
호날두 "코카콜라 대신 물"...유로2020 스폰서 수난시대	지금 유럽에서는 '미니 월드컵'으로 불리는 축구 전쟁, 이 한창입니다. 화끈한 '명품 승부'에도 대회 후원사들은 속을 태우고 있다는데요. 무슨 일인지, 조은지 기자가 보도합니다. [기자]  첫 경기를 앞두고...
[유로2020현장]스코틀랜드 팬들! 런던과 웸블리를 점령하다!	잉글랜드와 스코틀랜드의  D조 2차전이 열리는 18일 오후 영국 런던 레스터스퀘어. 수천여 스코틀랜드 팬들이 이미 이곳을 점령했다. 스코틀랜드 이곳저곳에서 런던으로 내려온 이들이었다. 잉글랜드와...
[유로 리뷰] '레반도프스키 동점골' 폴란드, 스페인과 1-1 무승부	로베르트 레반도프스키가 폴란드를  탈락 위기에서 구해냈다. 20일(한국시간) 스페인 세비야에 위치한 에스타디오 올림피코 데 라 카르투에서 열린  E조 2차전에서 스페인과 폴란드가 1-1로 비겼다. 전반...
2경기 무득점 '부진'...'주장' 향해 야유 쏟은 잉글랜드 홈 팬 [유로2020]	잉글랜드는 19일(한국시각) 런던 웸블리 스타디움에서 열린 UEFA  D조 스코틀랜드와의 경기에서 득점 없이 0-0으로 비겼다. 지난 크로아티아와의 1차전에서 나왔던 아쉬운 결정력이 이번에도 드러났다. 잉글랜드의...
UEFA, 유로 2020 '후원사 음료 치우기' 자제 당부	에서 후원사 업체의 음료를 치우는 선수들의 돌발행동이 큰 화제가 된 가운데 유럽축구연맹이 자제를 당부했습니다.  디렉터인 마르틴 칼렌은 선수들은 각국 축구협회와 대회 규정에 따라야 할 계약적...
[유로2020]슬로바키아, 10명 싸운 폴란드 제압...스페인, 헛심 무승부	사진=AP PHOTO[이데일리 스타in 이석무 기자] 2020 유럽축구선수권대회()에서 수적 우세를 등에 업은 슬로바키아가 특급 골잡이 로베르트 레반도프스키(바이에른 뮌헨)가 버틴 폴란드를 꺾었다. 슬로바키아는 15일...
‘모드리치 1승 도전!’ 크로아티아vs체코, 선발 라인업 공개 [유로2020]	크로아티아와 체코 대표팀은 19일 오전 1시(한국시간) 스코틀랜드 글래스고의 햄던 파크에서 ‘조별예선 D조’ 일정을 치른다. 크로아티아의 선택은 4-2-3-1 포메이션이다.공격에 최전방 안테 레비치를 비롯해...
[유로2020] '이러다 우승각?' 이탈리아 2연속 3대0 완승-로카텔리 멀티골	'불패군단' 이탈리아 축구대표팀이 막강한 기세로  초반 분위기를 주도하고 있다. 현재까지의 전력으로만 본다면 '우승 후보 0순위'라고 할 만하다. '무패기록' 또한 29경기로 늘렸다. 이탈리아가 또 승리했다....
사우스게이트, 무기력한 0-0..."반성의 시간 필요"[유로2020]	잉글랜드 대표팀은 19일(이하 한국시각)  조별예선 D조에서 스코틀랜드와 경기를 가졌다. 잉글랜드는 90분 공방 끝에 0-0 무승부를 거뒀다. 지난 경기 승리 후 순항을 이어가기를 희망했지만 승점 1점만을...
유로 디펜딩 챔프 포르투갈, 헝가리 제압…호날두 2골	세계랭킹 5위 포르투갈이 16일(한국시간) 37위 헝가리와 치른 유럽축구연맹(UEFA)  F조 1차전을 3-0으로 이겼다. 디펜딩 챔피언으로서 행보를 순조롭게 시작했다. 포르투갈은 후반 39분부터 추가시간 포함 8분...
서로 다른 의미의 '1승'...포르투갈vs독일 선발 라인업 발표 [유로2020]	포르투갈과 독일은 20일(한국시각) 뮌헨에서 열리는 UEFA  F조 2차전 경기 선발 라인업을 발표했다. 포르투갈은 1차전 헝가리에 3-0 완승을 거둬 조 1위에 있고 독일은 프랑스에 0-1로 패해 조 3위로 처져있다....
"크리스티안 쾌유!" 에릭센 응원셔츠 입은 핀란드 국대 클래스[유로2020]	크리스티안!(GET WELL, CHRISTIAN!)" 핀란드 축구 A대표팀 선수들이 16일(한국시각)  러시아와의 조별리그 B조 2차전을 앞두고 '덴마크 에이스' 크리스티안 에릭센을 위한 응원전에 나섰다. 경기 전 전선수단이 '쾌유를...
[유로리뷰] '야르몰렌코 1골 1도움' 우크라이나, 북마케도니아에 2대1 승리...대회 첫 승 성공	우크라이나가 북마케도니아를 누르고  대회 첫 승을 신고했다. 우크라이나는 17일(한국시각) 루마니아 부쿠레슈티 아레나 나치오날레에서 열린 북마케도니아와의  C조 2차전에서 2-1로 승리했다....
유로 경기장에 등장한 낙하산, 그라운드 '불시착'…관중석 향했다면 '아찔'	독일과 프랑스의 2020 유럽축구선수권대회() F조 1차전 킥오프를 앞두고 경기장에 낙하산이 '불시착'하는 사건이 일어났다. 낙하산이 그라운드로 떨어져 일반 관중의 피해는 없었지만 만약 관중석으로 갔다면 다수...
잉글랜드, 유로 첫 경기서 크로아티아에 1-0 승리	잉글랜드가 2020 유럽축구선수권대회() 첫 경기에서 크로아티아를 꺾고 기분 좋게 출발했다. 잉글랜드는 13일(한국시간) 영국 런던의 웸블리 스타디움에서 치러진 크로아티아와의  조별리그 D조...
[유로 리뷰] '페시나 결승골' 이탈리아, 웨일스에 1-0 신승...웨일스 16강행	이탈리아는 21일 1시(한국시간) 이탈리아 로마에 위치한 스타디오 올림피코에서 열린 UEFA 유럽축구선수권대회() A조 3차전에서 웨일스에 1-0으로 승리했다. 이번 승리로 이탈리아는 3전 전승을 거뒀다. 웨일스는...
[유로 리뷰] '바이날둠 멀티골 폭발' 네덜란드, 북마케도니아 3-0 제압...'3전 전승'	네덜란드는 22일 오전 1시(한국시간) 네덜란드 암스테르담에 위치한 요한 크루이프 아레나에서 열린 UEFA 유럽축구선수권대회() C조 3차전에서 북마케도니아에 3-0으로 승리를 거뒀다. 이로써 네덜란드는 조별리그...
‘손흥민 옛 동료’ 에릭센, 유로 2020 핀란드전 도중 의식 잃어	에릭센은 13일 오전(한국시간) 덴마크 코펜하겐의 파르켄 스타디움에서 열린 핀란드와 2020 유럽축구선수권대회() 조별리그 D조 1차전에 선발 출전했다가 전반 42분 갑작스레 의식을 잃고 쓰러졌다. 0-0으로 팽팽히...
크로아티아, 스코틀랜드 꺾고 조2위 16강 진출 성공…모드리치 1골 1도움 [유로2020]	크로아티아는 23일 새벽(한국시간) 스코틀랜드 글래스고의 햄던 파크에서 열린  D조 조별리그 최종 3차전에서 스코틀랜드를 3-1로 꺾었다. 모드리치가 결승골을 터뜨리고 쐐기골에 도움도 올리며 승리의 주역이...
[유로 S코어북] '샤키리 멀티골' 스위스, 터키에 3-1 승리	스위스는 21일(한국시간) 아제르바이잔 바쿠시 바쿠에 위치한 바쿠 올림픽 스타디움에서 열린  본선 A조 매치데이3 터키와의 경기에서 3-1로 승리했다. 스위스는 대회 첫 승을 거뒀고 터키는 3연패로 대회를...
‘레반돕 완전 봉쇄’ 슬로바키아, 폴란드에 2-1 승리 [유로2020]	슬로바키아는 15일 오전 1시(한국시간) 러시아 상트페테르부르크의 상트페테르부르크 스타디움에서 펼쳐진 폴란드 대표팀과의 ‘ 조별예선 E조’ 경기에서 짜릿한 2-1 승리를 얻어냈다. 이로써 슬로바키아는...
'콜라-맥주'에 대한 케인의 소신 "스포츠는 투자 필요" [유로2020]	스코틀랜드와의 UEFA  D조 매치데이 2 경기를 앞두고 기자회견에 참석한 사우스게이트 감독은 코카콜라에 대해 "스포츠에는 많은 후원사가 있고 그들이 후원하는 모든 돈은 스포츠가 활성화되는데 도움이 된다고...
'부상 복귀' 매과이어..."스코틀랜드전 출전 가능해" [유로2020]	해리 매과이어는 17일(이하 한국시각) 스코틀랜드와의 UEFA  D조 조별 리그 경기를 앞두고 공식 인터뷰를 진행했다. 그는 스코틀랜드전에 출전 가능하다고 말했다. 매과이어는 지난달 10일 프리미어리그 35라운드...
[유로 리뷰] '전차 군단의 부활' 독일, 포르투갈 4-2 승...'고젠스 맹활약'	독일은 20일 오전 1시(한국시간) 독일 뮌헨에 위치한 알리안츠 아레나에서 유럽축구연맹(UEFA)  F조 조별리그 2차전에서 포르투갈에 4-2로 승리했다. 이로써 독일은 승점 3점을 기록하며 프랑스에 이어 조 2위에...
에픽게임즈 '포트나이트', 'UEFA 유로컵 2020' 개최	'UEFA 컵 '이 '포트나이트'에서 열린다. 에픽게임즈의 한국법인 에픽게임즈 코리아(대표 박성철)는 자사가 개발하고 서비스 중인 '포트나이트'에서 ‘UEFA 컵 ’을 개최한다고 16일 밝혔다. 이번...
[유로2020 빅매치]독일을 무너트린 자책골의 시작점 맨유 간판 스타, 국대와 궁합이 최고	최고의 빅매치 중 하나였던 프랑스-독일전, 그 승자는 '아트사커' 프랑스였다. 승부는 행운의 자책골로 갈렸고, 프랑스(FIFA 랭킹 2위)가 독일(12위) 보다 더 예리하며 견고했다. 프랑스는 16일(한국시각) 뮌헨...
호날두, 최초 유로 5연속 출전+11골 최다 골 신기록 달성	포르투갈은 16일 열린  F조 1차전에서 헝가리를 3-0으로 꺾고 첫 승을 신고했다. 이날 호날두는 후반 멀티 골을 뽑아내며 포르투갈에 승리를 선사, 이와 함께 새 역사를 썼다. 경기 최우수선수 역시 그의...
